CONTAINER ID        IMAGE                                       COMMAND                  CREATED             STATUS              PORTS                                                                       NAMES
87badf13048b        hyperledger/fabric-peer:x86_64-1.0.0        "peer node start"        7 hours ago         Up 7 hours          0.0.0.0:9051->7051/tcp, 0.0.0.0:9053->7053/tcp                              peer0.org2.example.com
4b37085c5c2f        hyperledger/fabric-peer:x86_64-1.0.0        "peer node start"        7 hours ago         Up 7 hours          0.0.0.0:7051->7051/tcp, 0.0.0.0:7053->7053/tcp                              peer0.org1.example.com
d93624897547        hyperledger/fabric-peer:x86_64-1.0.0        "peer node start"        7 hours ago         Up 7 hours          0.0.0.0:8051->7051/tcp, 0.0.0.0:8053->7053/tcp                              peer1.org1.example.com
284ca3098e9b        hyperledger/fabric-peer:x86_64-1.0.0        "peer node start"        7 hours ago         Up 7 hours          0.0.0.0:10051->7051/tcp, 0.0.0.0:10053->7053/tcp                            peer1.org2.example.com
cf089fff1587        hyperledger/fabric-orderer:x86_64-1.0.0     "orderer"                7 hours ago         Up 7 hours          0.0.0.0:7050->7050/tcp                                                      orderer0.example.com
daed97db431a        hyperledger/fabric-orderer:x86_64-1.0.0     "orderer"                7 hours ago         Up 7 hours          0.0.0.0:9050->7050/tcp                                                      orderer2.example.com
b897d07e7d96        hyperledger/fabric-orderer:x86_64-1.0.0     "orderer"                7 hours ago         Up 7 hours          0.0.0.0:8050->7050/tcp                                                      orderer1.example.com
fecdeadec9ec        hyperledger/fabric-kafka:x86_64-1.0.0       "/docker-entrypoin..."   7 hours ago         Up 7 hours          9093/tcp, 0.0.0.0:32819->9092/tcp                                           kafka2
bd4cfee451d1        hyperledger/fabric-kafka:x86_64-1.0.0       "/docker-entrypoin..."   7 hours ago         Up 7 hours          9093/tcp, 0.0.0.0:32818->9092/tcp                                           kafka1
470119fcab3c        hyperledger/fabric-kafka:x86_64-1.0.0       "/docker-entrypoin..."   7 hours ago         Up 7 hours          9093/tcp, 0.0.0.0:32817->9092/tcp                                           kafka0
0936c401e209        hyperledger/fabric-kafka:x86_64-1.0.0       "/docker-entrypoin..."   7 hours ago         Up 7 hours          9093/tcp, 0.0.0.0:32816->9092/tcp                                           kafka3
7ad3ca2fcdbe        hyperledger/fabric-zookeeper:x86_64-1.0.0   "/docker-entrypoin..."   7 hours ago         Up 7 hours          0.0.0.0:32815->2181/tcp, 0.0.0.0:32814->2888/tcp, 0.0.0.0:32813->3888/tcp   zookeeper0
83f0974f9d9b        hyperledger/fabric-ca:x86_64-1.0.0          "sh -c 'fabric-ca-..."   7 hours ago         Up 7 hours          0.0.0.0:7054->7054/tcp                                                      ca_peerOrg1
1459baaff154        hyperledger/fabric-zookeeper:x86_64-1.0.0   "/docker-entrypoin..."   7 hours ago         Up 7 hours          0.0.0.0:32812->2181/tcp, 0.0.0.0:32811->2888/tcp, 0.0.0.0:32810->3888/tcp   zookeeper1
3dc6d4f97c2f        hyperledger/fabric-ca:x86_64-1.0.0          "sh -c 'fabric-ca-..."   7 hours ago         Up 7 hours          0.0.0.0:8054->7054/tcp                                                      ca_peerOrg2
ac47004d9c0b        hyperledger/fabric-zookeeper:x86_64-1.0.0   "/docker-entrypoin..."   7 hours ago         Up 7 hours          0.0.0.0:32809->2181/tcp, 0.0.0.0:32808->2888/tcp, 0.0.0.0:32807->3888/tcp   zookeeper2
